"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.0083,0.2517716999,1.000609797,7.31208225E-7,1.000102559
0.00835,0.2517661691,1.000609826,7.06616501E-7,1.000102588
0.0084,0.2517606393,1.000609855,6.825032752E-7,1.000102617
0.00845,0.2517551106,1.000609884,6.576676982E-7,1.000102646
0.0085,0.2517495829,1.000609913,6.333920906E-7,1.000102675
0.00855,0.2517440562,1.000609942,6.084276759E-7,1.000102704
0.0086,0.2517385306,1.00060997,5.841034132E-7,1.000102732
0.00865,0.251733006,1.000609999,5.591237192E-7,1.000102761
0.0087,0.2517274825,1.000610028,5.348626657E-7,1.000102789
0.00875,0.2517219601,1.000610056,5.099790557E-7,1.000102818
0.0088,0.2517164387,1.000610084,4.858905049E-7,1.000102846
0.00885,0.2517109183,1.000610113,4.612114697E-7,1.000102874
0.0089,0.251705399,1.000610141,4.374015014E-7,1.000102902
0.00895,0.2516998808,1.000610169,4.130320494E-7,1.00010293
0.009,0.2516943637,1.000610197,3.896029565E-7,1.000102958
0.00905,0.2516888476,1.000610225,3.656440769E-7,1.000102986
0.0091,0.2516833325,1.000610253,3.42693867E-7,1.000103014
0.00915,0.2516778186,1.00061028,3.192420676E-7,1.000103041
0.0092,0.2516723057,1.000610308,2.968640416E-7,1.000103069
0.00925,0.2516667939,1.000610336,2.740109657E-7,1.000103096
0.0093,0.2516612832,1.000610363,2.522933728E-7,1.000103124
0.00935,0.2516557735,1.00061039,2.301254902E-7,1.000103151
0.0094,0.2516502649,1.000610418,2.091512596E-7,1.000103178
0.00945,0.2516447575,1.000610445,1.877496334E-7,1.000103205
0.0095,0.2516392511,1.000610472,1.675961769E-7,1.000103232
0.00955,0.2516337458,1.000610499,1.470362998E-7,1.000103259
0.0096,0.2516282415,1.000610526,1.277753836E-7,1.000103286
0.00965,0.2516227384,1.000610553,1.081270799E-7,1.000103312
0.0097,0.2516172364,1.000610579,8.982475847E-8,1.000103339
0.00975,0.2516117355,1.000610606,7.115214556E-8,1.000103366
0.0098,0.2516062356,1.000610633,5.386875174E-8,1.000103392
0.00985,0.2516007369,1.000610659,3.62302542E-8,1.000103418
0.0099,0.2515952393,1.000610685,2.002043901E-8,1.000103445
0.00995,0.2515897427,1.000610712,0.0,1.000103471
0.01,0.2515842473,1.000610738,-1.161833722E-8,1.000103497
0.01005,0.251578753,1.000610764,-2.703576363E-8,1.000103523
0.0101,0.2515732598,1.00061079,0.001397616066,1.000103525
0.01015,0.2515677736,1.000610792,0.005341593427,1.000103462
0.0102,0.2515623051,1.000610729,0.01028923931,1.000103316
