Time,Subsystem_1_CTLs_Vars_Ef_CHP,Subsystem_1_CTLs_Vars_Tmech_pu_CHP,Subsystem_1_CTLs_Vars_w_CHP_pu,Subsystem_1_Machines_CHP_CHPexcmon,Tele
0.10355,3.028522214,0.8323915667,1.003002004,4.131954038,0.909718548630531
0.1036,3.029038503,0.8323234385,1.002996439,4.128663616,0.909470179039113
0.10365,3.029554379,0.8322553986,1.002990892,4.125356054,0.909152537435913
0.1037,3.030069841,0.8321874438,1.002985365,4.122031459,0.90880723659354
0.10375,3.030584886,0.8321195709,1.00297986,4.11868994,0.908434273281011
0.1038,3.031099512,0.8320517767,1.002974382,4.115331603,0.907992028203721
0.10385,3.031613718,0.8319840579,1.002968932,4.111956556,0.907535986058567
0.1039,3.032127501,0.8319164112,1.002963514,4.108564903,0.9070245274617
0.10395,3.032640858,0.8318488333,1.002958131,4.105156751,0.906471521072591
0.104,3.033153789,0.8317813208,1.002952785,4.101732203,0.905890835455246
0.10405,3.03366629,0.8317138705,1.00294748,4.098291363,0.90525472333937
0.1041,3.034178361,0.8316464788,1.002942218,4.094834335,0.904590925093319
0.10415,3.034689998,0.8315791426,1.002937002,4.091361222,0.903885565567945
0.1042,3.0352012,0.8315118583,1.002931835,4.087872127,0.903138641103088
0.10425,3.035711965,0.8314446229,1.00292672,4.08436715,0.902350148660008
0.1043,3.036222291,0.8313774327,1.002921659,4.080846396,0.901533956496612
0.10435,3.036732175,0.8313102847,1.002916655,4.077309963,0.900676189566973
0.1044,3.037241617,0.8312431754,1.00291171,4.073757954,0.899790716328919
0.10445,3.037750614,0.8311761016,1.002906827,4.070190468,0.898863661542701
0.1045,3.038259164,0.8311090598,1.002902008,4.066607605,0.897908893663088
0.10455,3.038767265,0.8310420469,1.002897257,4.063009464,0.896898665529026
0.1046,3.039274915,0.8309750595,1.002892575,4.059396145,0.895874589727013
0.10465,3.039782113,0.8309080942,1.002887964,4.055767744,0.894822790812589
0.1047,3.040288856,0.8308411477,1.002883428,4.052124359,0.893715521421689
0.10475,3.040795143,0.8307742167,1.002878968,4.048466087,0.892594394243784
0.1048,3.041300972,0.8307072978,1.002874587,4.044793023,0.891431661822499
0.10485,3.04180634,0.8306403875,1.002870288,4.041105263,0.890227320603804
0.1049,3.042311247,0.8305734824,1.002866072,4.037402902,0.889009111176025
0.10495,3.04281569,0.8305065792,1.002861942,4.033686032,0.887749286185867
0.105,3.043319668,0.8304396744,1.002857901,4.029954748,0.886447842082377
0.10505,3.043823178,0.8303727647,1.002853949,4.026209141,0.885146391568937
0.1051,3.044326219,0.8303058464,1.002850091,4.022449304,0.883775570851788
0.10515,3.04482879,0.8302389164,1.002846327,4.018675328,0.882404736839704
0.1052,3.045330887,0.8301719711,1.002842661,4.014887304,0.880978397863176
0.10525,3.04583251,0.8301050072,1.002839093,4.011085322,0.879552038620675
0.1053,3.046333658,0.8300380213,1.002835627,4.007269473,0.878070167639556
0.10535,3.046834327,0.8299710102,1.002832264,4.003439846,0.876574397712476
0.1054,3.047334517,0.8299039704,1.002829006,3.999596529,0.875050853298088
0.10545,3.047834225,0.8298368988,1.002825855,3.995739613,0.873499531265472
0.1055,3.048333451,0.8297697921,1.002822812,3.991869186,0.871934300295732
0.10555,3.048832192,0.8297026471,1.00281988,3.987985335,0.870327413138606
0.1056,3.049330446,0.8296354606,1.002817061,3.984088149,0.868692738564368
0.10565,3.049828213,0.8295682294,1.002814355,3.980177715,0.867058017366037
0.1057,3.05032549,0.8295009505,1.002811764,3.976254121,0.865395502510402
0.10575,3.050822276,0.8294336208,1.002809291,3.972317451,0.863691318854583
0.1058,3.051318568,0.8293662371,1.002806936,3.968367793,0.861987079186585
0.10585,3.051814367,0.8292987964,1.002804702,3.964405232,0.860241164467403
