"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M|TESTSPDOUT","Subsystem #1|Machines|M|TESTTELECT"
0.02425,0.0,1.005281673,9.018786443E-7
0.0243,0.0,1.005281659,9.084674896E-7
0.02435,0.0,1.005281646,9.14602434E-7
0.0244,0.0,1.005281633,9.202747895E-7
0.02445,0.0,1.00528162,9.254763938E-7
0.0245,0.0,1.005281607,9.301996189E-7
0.02455,0.0,1.005281593,9.344373959E-7
0.0246,0.0,1.00528158,9.381832349E-7
0.02465,0.0,1.005281567,9.41431236E-7
0.0247,0.0,1.005281554,9.441761196E-7
0.02475,0.0,1.00528154,9.464132238E-7
0.0248,0.0,1.005281527,9.481385453E-7
0.02485,0.0,1.005281514,9.493487221E-7
0.0249,0.0,1.005281501,9.500410843E-7
0.02495,0.0,1.005281488,9.502136226E-7
0.025,0.0,1.005281474,9.498650482E-7
0.02505,0.0,1.005281461,9.489947468E-7
0.0251,0.0,1.005281448,9.476028476E-7
0.02515,0.0,1.005281435,9.456901621E-7
0.0252,0.0,1.005281421,9.432582618E-7
0.02525,0.0,1.005281408,9.403094016E-7
0.0253,0.0,1.005281395,9.368466066E-7
0.02535,0.0,1.005281382,9.328735793E-7
0.0254,0.0,1.005281369,9.283947946E-7
0.02545,0.0,1.005281355,9.234153924E-7
0.0255,0.0,1.005281342,9.179412795E-7
0.02555,0.0,1.005281329,9.119790067E-7
0.0256,0.0,1.005281316,9.055358796E-7
0.02565,0.0,1.005281302,8.986198191E-7
0.0257,0.0,1.005281289,8.912394805E-7
0.02575,0.0,1.005281276,8.834040986E-7
0.0258,0.0,1.005281263,8.751236149E-7
0.02585,0.0,1.00528125,8.664085074E-7
0.0259,0.0,1.005281236,8.572699255E-7
0.02595,0.0,1.005281223,8.477195059E-7
0.026,0.0,1.00528121,8.377695153E-7
0.02605,0.0,1.005281197,8.274326517E-7
0.0261,0.0,1.005281184,8.167221963E-7
0.02615,0.0,1.00528117,8.056518007E-7
0.0262,0.0,1.005281157,7.942356476E-7
0.02625,0.0,1.005281144,7.824882255E-7
0.0263,0.0,1.005281131,7.704244977E-7
0.02635,0.0,1.005281117,7.580596657E-7
