"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.0077,-6.880004615E-5,0.6819410703,0.3173774548,-4.458289447E-5,-9.897036031E-5
0.00775,-7.647082762E-5,0.6819385801,0.3173762959,-4.649168852E-5,-9.916394573E-5
0.0078,-8.406615294E-5,0.6819361478,0.3173751639,-4.835459853E-5,-9.935583558E-5
0.00785,-9.157856747E-5,0.6819337759,0.31737406,-5.016978705E-5,-9.954584151E-5
0.0079,-9.900066736E-5,0.6819314667,0.3173729853,-5.193546373E-5,-9.973377625E-5
0.00795,-1.063251126E-4,0.6819292224,0.3173719408,-5.364988708E-5,-9.991945395E-5
0.008,-1.135447274E-4,0.6819270453,0.3173709275,-5.531136618E-5,-1.001026927E-4
0.00805,-1.206524027E-4,0.6819249375,0.3173699466,-5.691826238E-5,-1.00283312E-4
0.0081,-1.276411025E-4,0.6819229011,0.3173689988,-5.846899085E-5,-1.004611332E-4
0.00815,-1.345039751E-4,0.6819209382,0.3173680852,-5.996202218E-5,-1.006359818E-4
0.0082,-1.412342622E-4,0.6819190505,0.3173672067,-6.139588391E-5,-1.008076858E-4
0.00825,-1.478252982E-4,0.68191724,0.3173663641,-6.27691619E-5,-1.009760749E-4
0.0083,-1.542706222E-4,0.6819155086,0.3173655583,-6.408050181E-5,-1.011409842E-4
0.00835,-1.605638858E-4,0.6819138578,0.31736479,-6.532861039E-5,-1.013022512E-4
0.0084,-1.666988529E-4,0.6819122893,0.3173640601,-6.651225674E-5,-1.014597162E-4
0.00845,-1.726695106E-4,0.6819108048,0.3173633691,-6.763027358E-5,-1.016132247E-4
0.0085,-1.784699767E-4,0.6819094055,0.3173627179,-6.86815583E-5,-1.017626256E-4
0.00855,-1.840944992E-4,0.681908093,0.3173621071,-6.966507416E-5,-1.019077708E-4
0.0086,-1.895375667E-4,0.6819068684,0.3173615371,-7.057985123E-5,-1.020485178E-4
0.00865,-1.947938151E-4,0.6819057331,0.3173610088,-7.142498736E-5,-1.021847282E-4
0.0087,-1.99858027E-4,0.6819046881,0.3173605224,-7.219964909E-5,-1.023162666E-4
0.00875,-2.047252413E-4,0.6819037345,0.3173600786,-7.290307247E-5,-1.024430043E-4
0.0088,-2.093906597E-4,0.6819028732,0.3173596777,-7.353456377E-5,-1.025648162E-4
0.00885,-2.138496452E-4,0.681902105,0.3173593202,-7.409350021E-5,-1.026815814E-4
0.0089,-2.180978311E-4,0.6819014307,0.3173590064,-7.457933055E-5,-1.027931853E-4
0.00895,-2.221310274E-4,0.6819008511,0.3173587367,-7.499157564E-5,-1.028995181E-4
0.009,-2.259452182E-4,0.6819003665,0.3173585112,-7.532982888E-5,-1.030004738E-4
0.00905,-2.295366704E-4,0.6818999776,0.3173583302,-7.559375664E-5,-1.030959537E-4
0.0091,-2.329018395E-4,0.6818996848,0.3173581938,-7.578309858E-5,-1.031858634E-4
0.00915,-2.36037366E-4,0.6818994882,0.3173581024,-7.589766788E-5,-1.032701133E-4
0.0092,-2.389401838E-4,0.6818993881,0.3173580558,-7.593735146E-5,-1.033486209E-4
0.00925,-2.416074254E-4,0.6818993846,0.3173580541,-7.590211011E-5,-1.034213088E-4
0.0093,-2.440364174E-4,0.6818994777,0.3173580975,-7.579197845E-5,-1.034881042E-4
0.00935,-2.462247886E-4,0.6818996673,0.3173581857,-7.560706498E-5,-1.035489417E-4
0.0094,-2.48170374E-4,0.6818999532,0.3173583188,-7.534755192E-5,-1.036037613E-4
0.00945,-2.498712098E-4,0.6819003351,0.3173584965,-7.501369506E-5,-1.036525077E-4
0.0095,-2.513256414E-4,0.6819008127,0.3173587188,-7.460582349E-5,-1.036951335E-4
0.00955,-2.525322256E-4,0.6819013855,0.3173589854,-7.412433929E-5,-1.037315963E-4
0.0096,-2.534897261E-4,0.6819020529,0.317359296,-7.356971714E-5,-1.037618591E-4
0.00965,-2.541972196E-4,0.6819028143,0.3173596504,-7.294250382E-5,-1.037858925E-4
0.0097,-2.546539984E-4,0.6819036689,0.3173600481,-7.224331772E-5,-1.038036726E-4
0.00975,-2.548595644E-4,0.6819046159,0.3173604888,-7.14728482E-5,-1.038151807E-4
0.0098,-2.548137347E-4,0.6819056543,0.3173609721,-7.063185492E-5,-1.038204059E-4
0.00985,-2.545165442E-4,0.6819067831,0.3173614975,-6.972116708E-5,-1.038193427E-4
0.0099,-2.539682435E-4,0.6819080013,0.3173620644,-6.874168266E-5,-1.038119913E-4
0.00995,-2.531693984E-4,0.6819093075,0.3173626723,-6.769436744E-5,-1.037983594E-4
0.01,-2.5212078E-4,0.6819107005,0.3173633206,-6.658025415E-5,-1.0377846E-4
0.01005,-2.508233586E-4,0.681912179,0.3173640087,-6.540044139E-5,-1.037523113E-4
0.0101,-2.492784245E-4,0.6819137415,0.3173647359,-6.415609257E-5,-1.037199392E-4
0.01015,-2.475035773E-4,0.6819153864,0.3173655014,-6.284843476E-5,-1.036817778E-4
0.0102,-0.0741640611,0.6819171121,0.3173663046,-6.147875751E-5,-0.001952525888
0.01025,-0.222982742,0.681918917,0.3173671446,-6.004841154E-5,-0.005676707301
0.0103,-0.3733433352,0.6819207991,0.3173680205,-5.855880743E-5,-0.009443176262
0.01035,-0.4506985524,0.6819413882,0.3173776027,-4.256320105E-5,-0.01138735725
0.0104,-0.4532586176,0.6820467073,0.3174266186,3.913074598E-5,-0.01146265834
0.01045,-0.4530380066,0.6823284054,0.3175577217,2.575617843E-4,-0.01146847177
0.0105,-0.4502179442,0.6828540982,0.3178023808,6.650962087E-4,-0.01140926091
0.01055,-0.4455129221,0.6836583474,0.3181766808,0.001288441151,-0.01130283199
0.0106,-0.4398848078,0.6847563196,0.3186876804,0.002139250204,-0.01117319661
0.01065,-0.4338439875,0.686151613,0.3193370542,0.003220200033,-0.01103309771
0.0107,-0.4274663899,0.68784092,0.3201232629,0.004528610482,-0.01088442414
0.01075,-0.4207966385,0.6898168832,0.3210428822,0.006058662411,-0.01072828364
0.0108,-0.4138644391,0.6920698755,0.3220914316,0.007802779446,-0.01056541192
0.01085,-0.4066993229,0.6945891014,0.323263887,0.009752482909,-0.01039654106
0.0109,-0.3993242777,0.6973632733,0.3245549952,0.01189891681,-0.01022224022
0.01095,-0.3917610198,0.7003810228,0.325959465,0.01423316672,-0.01004304734
0.011,-0.3840263984,0.7036311454,0.3274720819,0.01674645001,-0.009859379142
0.01105,-0.376137779,0.7071027431,0.3290877741,0.01943022597,-0.009671665706
0.0111,-0.3681088183,0.7107853022,0.3308016484,0.02227625636,-0.009480244768
0.01115,-0.3599540504,0.7146687327,0.3326090088,0.02527663537,-0.009285476353
0.0112,-0.3516850493,0.7187433826,0.3345053633,0.02842380094,-0.009087646812
0.01125,-0.3433144181,0.7230000384,0.3364864238,0.03171053488,-0.008887068522
0.0113,-0.3348522601,0.727429917,0.3385481029,0.03512995633,-0.008683991651
0.01135,-0.3263096842,0.7320246527,0.3406865069,0.0386755115,-0.008478691777
0.0114,-0.3176956208,0.7367762814,0.3428979294,0.04234096138,-0.008271390254
0.01145,-0.3090199253,0.7416772239,0.3451788429,0.04612036854,-0.008062331807
0.0115,-0.3002905268,0.7467202686,0.3475258913,0.05000808358,-0.007851713223
0.01155,-0.291516185,0.7518985543,0.3499358813,0.05399873172,-0.007639752258
0.0116,-0.2827039473,0.7572055539,0.3524057751,0.05808719972,-0.007426624064
0.01165,-0.273861598,0.7626350576,0.3549326827,0.06226862324,-0.007212522397
0.0117,-0.2649953974,0.7681811579,0.3575138547,0.06653837467,-0.006997603092
0.01175,-0.2561122557,0.7738382347,0.3601466755,0.07089205151,-0.006782038392
0.0118,-0.2472177269,0.7796009409,0.3628286565,0.07532546537,-0.006565966792
0.01185,-0.2383179354,0.7854641893,0.3655574302,0.07983463135,-0.006349541198
0.0119,-0.2294177998,0.7914231397,0.368330744,0.08441575809,-0.0061328845
0.01195,-0.2205227379,0.7974731867,0.3711464543,0.08906523818,-0.005916132206
0.012,-0.2116370959,0.803609948,0.3740025217,0.09377963917,-0.005699393152
0.01205,-0.2027656562,0.8098292537,0.3768970056,0.09855569491,-0.005482787189
0.0121,-0.1939122495,0.8161271358,0.3798280591,0.1033902974,-0.005266410494
