"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.0041,2.50996808E-4,0.6820838323,0.3174438967,6.552332071E-5,-9.113576165E-5
0.00415,2.494690451E-4,0.6820822781,0.3174431734,6.428535334E-5,-9.11676999E-5
0.0042,2.476950939E-4,0.6820806413,0.3174424116,6.298392428E-5,-9.120583413E-5
0.00425,2.456766682E-4,0.6820789235,0.3174416121,6.162031886E-5,-9.125012763E-5
0.0043,2.434157726E-4,0.6820771264,0.3174407757,6.019588377E-5,-9.130053636E-5
0.00435,2.409147265E-4,0.6820752517,0.3174399032,5.871202576E-5,-9.135700838E-5
0.0044,2.381759949E-4,0.6820733013,0.3174389955,5.717021023E-5,-9.141948804E-5
0.00445,2.352022683E-4,0.6820712772,0.3174380535,5.557195976E-5,-9.148791398E-5
0.0045,2.319964996E-4,0.6820691813,0.3174370781,5.391885266E-5,-9.156221821E-5
0.00455,2.285618951E-4,0.6820670157,0.3174360702,5.221252134E-5,-9.164232635E-5
0.0046,2.249018194E-4,0.6820647825,0.3174350309,5.045465076E-5,-9.172815995E-5
0.00465,2.210198948E-4,0.682062484,0.3174339611,4.864697672E-5,-9.181963404E-5
0.0047,2.169199994E-4,0.6820601224,0.317432862,4.679128415E-5,-9.191665718E-5
0.00475,2.126061587E-4,0.6820577,0.3174317346,4.488940538E-5,-9.201913412E-5
0.0048,2.080826389E-4,0.6820552193,0.3174305801,4.294321826E-5,-9.212696351E-5
0.00485,2.033539499E-4,0.6820526827,0.3174293995,4.095464438E-5,-9.224003777E-5
0.0049,1.984247363E-4,0.6820500926,0.3174281941,3.892564712E-5,-9.235824588E-5
0.00495,1.932998699E-4,0.6820474517,0.317426965,3.685822972E-5,-9.248147099E-5
0.005,1.879844518E-4,0.6820447626,0.3174257135,3.475443329E-5,-9.260959039E-5
0.00505,1.824837037E-4,0.6820420278,0.3174244408,3.261633481E-5,-9.274247824E-5
0.0051,1.76803059E-4,0.6820392502,0.317423148,3.044604509E-5,-9.288000328E-5
0.00515,1.709481652E-4,0.6820364324,0.3174218366,2.824570661E-5,-9.302202873E-5
0.0052,1.649247738E-4,0.6820335773,0.3174205079,2.601749151E-5,-9.316841511E-5
0.00525,1.587388316E-4,0.6820306876,0.317419163,2.376359937E-5,-9.331901787E-5
0.0053,1.52396482E-4,0.6820277662,0.3174178034,2.148625504E-5,-9.347368742E-5
0.00535,1.45903955E-4,0.6820248161,0.3174164303,1.918770648E-5,-9.363227184E-5
0.0054,1.392676577E-4,0.68202184,0.3174150453,1.687022252E-5,-9.379461463E-5
0.00545,1.324941753E-4,0.6820188409,0.3174136495,1.453609062E-5,-9.396055467E-5
0.0055,1.255901605E-4,0.6820158219,0.3174122444,1.218761457E-5,-9.412992899E-5
0.00555,1.185624236E-4,0.6820127858,0.3174108314,9.827112311E-6,-9.430257051E-5
0.0056,1.114179335E-4,0.6820097357,0.3174094119,7.456913555E-6,-9.447830801E-5
0.00565,1.04163706E-4,0.6820066746,0.3174079872,5.079357519E-6,-9.465696893E-5
0.0057,9.680689465E-5,0.6820036054,0.3174065589,2.696790641E-6,-9.483837708E-5
0.00575,8.935479017E-5,0.6820005314,0.3174051282,3.115642144E-7,-9.502235268E-5
0.0058,8.181470937E-5,0.6819974554,0.3174036966,-2.073967891E-6,-9.520871508E-5
0.00585,7.419408517E-5,0.6819943805,0.3174022655,-4.457451577E-6,-9.539728058E-5
0.0059,6.650046616E-5,0.6819913097,0.3174008364,-6.836534822E-6,-9.558786238E-5
0.00595,5.874140499E-5,0.6819882461,0.3173994106,-9.208870015E-6,-9.578027338E-5
0.006,5.092454825E-5,0.6819851927,0.3173979895,-1.157211626E-5,-9.597432398E-5
0.00605,4.305763591E-5,0.6819821525,0.3173965746,-1.39239417E-5,-9.616982202E-5
0.0061,3.514838938E-5,0.6819791285,0.3173951672,-1.62620258E-5,-9.636657561E-5
0.00615,2.720460137E-5,0.6819761237,0.3173937688,-1.858406165E-5,-9.65643909E-5
0.0062,1.923413513E-5,0.681973141,0.3173923806,-2.088775822E-5,-9.676307207E-5
0.00625,1.124481236E-5,0.6819701834,0.3173910042,-2.317084264E-5,-9.696242416E-5
0.0063,3.244503086E-6,0.6819672539,0.3173896407,-2.543106244E-5,-9.716225078E-5
0.00635,-4.758875272E-6,0.6819643552,0.3173882917,-2.766618774E-5,-9.736235417E-5
0.0064,-1.275747E-5,0.6819614904,0.3173869584,-2.987401349E-5,-9.756253799E-5
0.00645,-2.074340325E-5,0.6819586621,0.3173856421,-3.205236162E-5,-9.776260509E-5
0.0065,-2.87087729E-5,0.6819558731,0.3173843441,-3.419908319E-5,-9.796235748E-5
0.00655,-3.664576478E-5,0.6819531264,0.3173830657,-3.631206049E-5,-9.816159922E-5
0.0066,-4.454656265E-5,0.6819504244,0.3173818082,-3.838920918E-5,-9.836013407E-5
0.00665,-5.240334906E-5,0.68194777,0.3173805729,-4.042848027E-5,-9.855776561E-5
0.0067,-6.020841751E-5,0.6819451657,0.3173793608,-4.24278622E-5,-9.875429997E-5
0.00675,-6.795408226E-5,0.681942614,0.3173781733,-4.438538278E-5,-9.894954362E-5
0.0068,-7.563268103E-5,0.6819401176,0.3173770114,-4.629911116E-5,-9.914330343E-5
0.00685,-8.323670521E-5,0.6819376789,0.3173758764,-4.816715973E-5,-9.93353899E-5
0.0069,-9.075866312E-5,0.6819353002,0.3173747694,-4.998768595E-5,-9.95256138E-5
0.00695,-9.819106968E-5,0.681932984,0.3173736914,-5.17588942E-5,-9.971378583E-5
0.007,-1.05526626E-4,0.6819307324,0.3173726435,-5.347903752E-5,-9.989972122E-5
0.00705,-1.127581331E-4,0.6819285478,0.3173716268,-5.514641936E-5,-1.000832375E-4
0.0071,-1.198784635E-4,0.6819264323,0.3173706422,-5.675939523E-5,-1.002641537E-4
0.00715,-1.26880574E-4,0.6819243879,0.3173696908,-5.83163743E-5,-1.004422909E-4
0.0072,-1.337576057E-4,0.6819224168,0.3173687734,-5.981582102E-5,-1.006174747E-4
0.00725,-1.405027863E-4,0.6819205207,0.317367891,-6.125625658E-5,-1.007895325E-4
0.0073,-1.471094361E-4,0.6819187017,0.3173670444,-6.263626038E-5,-1.009582939E-4
0.00735,-1.535710789E-4,0.6819169614,0.3173662345,-6.395447146E-5,-1.011235935E-4
0.0074,-1.598813505E-4,0.6819153017,0.317365462,-6.520958976E-5,-1.012852684E-4
0.00745,-1.660339981E-4,0.6819137241,0.3173647278,-6.64003775E-5,-1.014431585E-4
