101000 [9.29e-01, 1.22e+01]
101200 [9.29e-01, 1.22e+01]
101400 [9.29e-01, 1.22e+01]
101600 [9.29e-01, 1.22e+01]
101800 [9.29e-01, 1.22e+01]
102000 [9.29e-01, 1.22e+01]
102200 [9.29e-01, 1.22e+01]
102400 [9.28e-01, 1.23e+01]
102600 [9.28e-01, 1.23e+01]
102800 [9.28e-01, 1.23e+01]
103000 [9.28e-01, 1.23e+01]
103200 [9.28e-01, 1.23e+01]
103400 [9.28e-01, 1.23e+01]
103600 [9.28e-01, 1.23e+01]
103800 [9.28e-01, 1.23e+01]
104000 [9.28e-01, 1.23e+01]
104200 [9.28e-01, 1.23e+01]
104400 [9.28e-01, 1.23e+01]
104600 [9.28e-01, 1.23e+01]
104800 [9.28e-01, 1.23e+01]
105000 [9.28e-01, 1.23e+01]
105200 [9.28e-01, 1.23e+01]
105400 [9.28e-01, 1.24e+01]
105600 [9.28e-01, 1.24e+01]
105800 [9.28e-01, 1.24e+01]
106000 [9.28e-01, 1.24e+01]
106200 [9.28e-01, 1.24e+01]
106400 [9.28e-01, 1.24e+01]
106600 [9.28e-01, 1.24e+01]
106800 [9.28e-01, 1.24e+01]
107000 [9.28e-01, 1.24e+01]
107200 [9.27e-01, 1.24e+01]
107400 [9.27e-01, 1.24e+01]
107600 [9.27e-01, 1.24e+01]
107800 [9.27e-01, 1.24e+01]
108000 [9.27e-01, 1.24e+01]
108200 [9.27e-01, 1.24e+01]
108400 [9.27e-01, 1.25e+01]
108600 [9.27e-01, 1.25e+01]
108800 [9.27e-01, 1.25e+01]
109000 [9.27e-01, 1.25e+01]
109200 [9.27e-01, 1.25e+01]
109400 [9.27e-01, 1.25e+01]
109600 [9.27e-01, 1.25e+01]
109800 [9.27e-01, 1.25e+01]
110000 [9.27e-01, 1.25e+01]
110200 [9.27e-01, 1.25e+01]
110400 [9.27e-01, 1.25e+01]
110600 [9.27e-01, 1.25e+01]
110800 [9.27e-01, 1.25e+01]
111000 [9.27e-01, 1.25e+01]
111200 [9.27e-01, 1.25e+01]
111400 [9.27e-01, 1.25e+01]
111600 [9.27e-01, 1.25e+01]
111800 [9.26e-01, 1.26e+01]
112000 [9.27e-01, 1.26e+01]
112200 [9.26e-01, 1.26e+01]
112400 [9.26e-01, 1.26e+01]
112600 [9.26e-01, 1.26e+01]
112800 [9.26e-01, 1.26e+01]
113000 [9.26e-01, 1.26e+01]
113200 [9.26e-01, 1.26e+01]
113400 [9.26e-01, 1.26e+01]
113600 [9.26e-01, 1.26e+01]
113800 [9.26e-01, 1.26e+01]
114000 [9.26e-01, 1.26e+01]
114200 [9.26e-01, 1.26e+01]
114400 [9.26e-01, 1.26e+01]
114600 [9.26e-01, 1.26e+01]
114800 [9.26e-01, 1.26e+01]
115000 [9.26e-01, 1.27e+01]
115200 [9.26e-01, 1.27e+01]
115400 [9.26e-01, 1.27e+01]
115600 [9.26e-01, 1.27e+01]
115800 [9.26e-01, 1.27e+01]
116000 [9.26e-01, 1.27e+01]
116200 [9.26e-01, 1.27e+01]
116400 [9.26e-01, 1.27e+01]
116600 [9.25e-01, 1.27e+01]
116800 [9.25e-01, 1.27e+01]
117000 [9.25e-01, 1.27e+01]
117200 [9.25e-01, 1.27e+01]
117400 [9.25e-01, 1.27e+01]
117600 [9.25e-01, 1.27e+01]
117800 [9.25e-01, 1.27e+01]
118000 [9.25e-01, 1.27e+01]
118200 [9.25e-01, 1.27e+01]
118400 [9.25e-01, 1.28e+01]
118600 [9.25e-01, 1.28e+01]
118800 [9.25e-01, 1.28e+01]
119000 [9.25e-01, 1.28e+01]
119200 [9.25e-01, 1.28e+01]
119400 [9.25e-01, 1.28e+01]
119600 [9.25e-01, 1.28e+01]
119800 [9.25e-01, 1.28e+01]
120000 [9.25e-01, 1.28e+01]
120200 [9.25e-01, 1.28e+01]
120400 [9.25e-01, 1.28e+01]
120600 [9.25e-01, 1.28e+01]
120800 [9.25e-01, 1.28e+01]
121000 [9.25e-01, 1.28e+01]
121200 [9.25e-01, 1.28e+01]
121400 [9.25e-01, 1.28e+01]
121600 [9.25e-01, 1.28e+01]
121800 [9.25e-01, 1.28e+01]
122000 [9.24e-01, 1.29e+01]
122200 [9.24e-01, 1.29e+01]
122400 [9.24e-01, 1.29e+01]
122600 [9.24e-01, 1.29e+01]
122800 [9.24e-01, 1.29e+01]
123000 [9.24e-01, 1.29e+01]
123200 [9.24e-01, 1.29e+01]
123400 [9.24e-01, 1.29e+01]
123600 [9.24e-01, 1.29e+01]
123800 [9.24e-01, 1.29e+01]
124000 [9.24e-01, 1.29e+01]
124200 [9.24e-01, 1.29e+01]
124400 [9.24e-01, 1.29e+01]
124600 [9.24e-01, 1.29e+01]
124800 [9.24e-01, 1.29e+01]
125000 [9.24e-01, 1.29e+01]
125200 [9.24e-01, 1.29e+01]
125400 [9.24e-01, 1.29e+01]
125600 [9.24e-01, 1.30e+01]
125800 [9.24e-01, 1.30e+01]
126000 [9.24e-01, 1.30e+01]
126200 [9.24e-01, 1.30e+01]
126400 [9.24e-01, 1.30e+01]
126600 [9.24e-01, 1.30e+01]
126800 [9.24e-01, 1.30e+01]
127000 [9.24e-01, 1.30e+01]
127200 [9.23e-01, 1.30e+01]
127400 [9.23e-01, 1.30e+01]
127600 [9.23e-01, 1.30e+01]
127800 [9.23e-01, 1.30e+01]
128000 [9.23e-01, 1.30e+01]
